name,kind,base_types,file,scope,loc,lifecycle,public_methods,FindObject,ResourcesLoad,NewGameObject,AddComponent,RuntimeInitialize,PlayerPrefs,ExecuteAlways,StopAllCoroutines,code_ref_count,code_ref_files,script_guid,serialized_ref_count,serialized_ref_files
RoomPersonWalker2D,class,MonoBehaviour,Assets/Scripts/Characters/RoomPersonWalker2D.cs,Runtime,803,Awake | OnEnable | Update | OnDisable | OnValidate | Reset,RefreshDepthVisualsNow | SetButlerCharacterScaleRulesEnabled | SetButlerScaleSource | SetPreserveAuthoredLocalScaleWhenUsingButlerRules | ResetAuthoredWalkerScaleForEditor | ApplyButlerCharacterScaleNow | TryGetButlerCharacterScaleSample | UsesPerspectiveProfile,1,0,0,0,0,0,1,0,47,Assets/Scripts/Characters/GuestScaleParticipant.cs:8 | Assets/Editor/GuestButlerScaleRegressionTests.cs:7 | Assets/Editor/RoomProjectionRegressionTests.cs:7 | Assets/Editor/GuestScaleAudit.cs:6 | Assets/Scripts/Characters/GuestRoomScaleApplier.cs:6 | Assets/Editor/CharacterRegressionTests.cs:4 | Assets/Editor/RoomPerspectiveProfileEditor.cs:3 | Assets/Scripts/Story/NPCWaypointMover.cs:2 | Assets/_Chateau/Scripts/Chapter/Chapter01/Chapter1ArrivalController.cs:2 | Assets/Editor/Chapter2RegressionTests.cs:1 | Assets/_Chateau/Scripts/Chapter/Chapter02/Chapter2GuestPanicController.cs:1,1b45edb93a9b42e58fa4cad7d4de84ce,2,Assets/Scenes/Gameplay.unity:2
RoomPerspectiveProfile,class,ScriptableObject,Assets/Scripts/Characters/RoomPerspectiveProfile.cs,Runtime,262,OnValidate,Configure | ConfigureDrawingRoomDefaults | GetDepth01 | GetScale | GetScaleAtDepth | SetDepthYRange | SetScaleEndpoints | ApplyScaleMultiplier | GetTint | GetSortingOrder | GetShadowScale | GetShadowOpacity | ContainsFloorPoint,0,0,0,0,0,0,0,0,71,Assets/Editor/RoomProjectionRegressionTests.cs:17 | Assets/Editor/RoomProjectionCalibrationWindow.cs:12 | Assets/Scripts/Characters/RoomPersonWalker2D.cs:9 | Assets/Scripts/PointClickPlayerMovement.cs:7 | Assets/Editor/GuestButlerScaleRegressionTests.cs:6 | Assets/Editor/RoomPerspectiveProfileEditor.cs:6 | Assets/Scripts/Characters/RoomProjectedEntity.cs:4 | Assets/Scripts/Navigation/RoomContentGroup.cs:4 | Assets/Editor/StoryActorRoomStageLockingTests.cs:2 | Assets/_Chateau/Scripts/Chapter/Chapter01/Chapter1ArrivalController.cs:2 | Assets/Scripts/Characters/RoomPerspectiveProfile.cs:1 | Assets/Scripts/Story/ActorRoomState.cs:1,e43aae3b108144478b67cf2bce6ce997,2,Assets/ScriptableObjects/Rooms/DiningRoomPerspectiveProfile.asset:1 | Assets/ScriptableObjects/Rooms/DrawingRoomPerspectiveProfile.asset:1
RoomProjectedEntity,class,MonoBehaviour,Assets/Scripts/Characters/RoomProjectedEntity.cs,Runtime,1229,Awake | OnEnable | LateUpdate | OnDisable | OnValidate | Reset,SetRoomProfile | SetVisualProfile | SetVisualRoot | SetButlerCharacterScaleRulesEnabled | SetButlerScaleSource | SetIgnoreRoomVisualScaleOverridesWhenUsingButlerRules | SetUseButlerRulesOnlyForFloorCharacters | SetRoomVisualScaleOverridesEnabled | SetEditorSelectedVisualScaleRoomId | SetProjectedSortingSuppressed | GetVisualRootScaleForRoom | TryGetVisualRootScaleForRoom | HasVisualRootScaleForRoom | SetVisualRootScaleForRoom | RemoveVisualRootScaleForRoom | CaptureCurrentVisualRootScaleForRoom | GetVisualScaleOverrideRoomIds | SetRoomLocalFootPoint | TrySetRoomLocalFootPointFromTarget | UseProfileFromRoomTarget | CanProjectTarget | TryGetRoomLocalFootPointForTarget | RefreshVisualTargets | ApplyProjection | GetProjectedScale | GetSortingOrder | GetSortingLayerName | ApplyButlerCharacterScaleNow | TryGetButlerCharacterScaleSample | Matches,3,0,0,0,0,0,1,0,122,Assets/Editor/RoomProjectionRegressionTests.cs:22 | Assets/_Chateau/Scripts/Chapter/Chapter01/Chapter1ArrivalController.cs:13 | Assets/Scripts/Characters/GuestScaleParticipant.cs:12 | Assets/Scripts/Characters/GuestRoomScaleApplier.cs:11 | Assets/Editor/GuestScaleAudit.cs:9 | Assets/Editor/RoomProjectedEntityEditor.cs:9 | Assets/Editor/GuestButlerScaleRegressionTests.cs:8 | Assets/Scripts/Story/ActorRoomState.cs:7 | Assets/Editor/ButlerRoomScaleCalibrationWindow.cs:4 | Assets/Editor/RoomProjectionCalibrationWindow.cs:4 | Assets/Editor/RoomPerspectiveProfileEditor.cs:3 | Assets/Scripts/Characters/DiningRoomSeatedGuestOcclusionException.cs:3 | Assets/Scripts/Story/NPCWaypointMover.cs:3 | Assets/Editor/CharacterRegressionTests.cs:2 | Assets/Scripts/Characters/RoomPersonWalker2D.cs:2 | Assets/Scripts/Characters/WorldYSortSpriteRenderer.cs:2 | Assets/_Chateau/Scripts/Chapter/Chapter02/Chapter2GuestPanicController.cs:2 | Assets/_Chateau/Scripts/Chapter/Chapter02/Chapter2GuestSearchController.cs:2 | Assets/Editor/Chapter1GuestRoomVisibilityRegressionTests.cs:1 | Assets/Editor/Chapter2RegressionTests.cs:1 | Assets/Editor/ObjectCollisionBoxAuthoringWindow.cs:1 | Assets/Editor/PointClickPlayerMovementEditor.cs:1,361e3658088b41ab98d330ae6457640b,13,Assets/Scenes/Gameplay.unity:5 | Assets/Prefabs/Room_Drawing_Room.prefab:4 | Assets/Prefabs/Room_Drawing_Room_Perspective.prefab:4
WorldYSortSpriteRenderer,class,MonoBehaviour,Assets/Scripts/Characters/WorldYSortSpriteRenderer.cs,Runtime,176,OnEnable | LateUpdate | OnValidate | Reset,ApplySorting,1,0,0,0,0,0,1,0,2,Assets/Editor/RoomProjectionRegressionTests.cs:2,75f090bb68ab450d9703d9581c5c543a,11,Assets/Scenes/Gameplay.unity:11
YSortSolidObstacle2D,class,MonoBehaviour,Assets/Scripts/Characters/YSortSolidObstacle2D.cs,Runtime,91,OnEnable | OnValidate | Reset,ShouldDisableOcclusionForPoint | ContainsPoint | TryGetPhysicalBounds,0,0,0,0,0,0,1,0,3,Assets/Scripts/Characters/WorldYSortSpriteRenderer.cs:2 | Assets/Editor/NavigationRegressionTests.cs:1,e89a7a6e329b4106a50461f13559b2e0,0,
RoomEnvironmentItemKind,enum,,Assets/Scripts/Environment/RoomEnvironmentMarker.cs,Runtime,40,,Configure,0,0,0,0,0,0,0,0,7,Assets/Editor/RoomEnvironmentAuthoringWindow.cs:3 | Assets/Scripts/Environment/RoomEnvironmentMarker.cs:3 | Assets/Editor/FlameBloomSeparationTools.cs:1,37be03b1dd3c4b0fb9b8c5c1f6d4a03c,21,Assets/Scenes/Gameplay.unity:19 | Assets/Prefabs/Room_Drawing_Room.prefab:1 | Assets/Prefabs/Room_Drawing_Room_Perspective.prefab:1
RoomEnvironmentMarker,class,MonoBehaviour,Assets/Scripts/Environment/RoomEnvironmentMarker.cs,Runtime,40,,Configure,0,0,0,0,0,0,0,0,11,Assets/Editor/RoomEnvironmentAuthoringWindow.cs:8 | Assets/Editor/FlameBloomSeparationTools.cs:3,37be03b1dd3c4b0fb9b8c5c1f6d4a03c,21,Assets/Scenes/Gameplay.unity:19 | Assets/Prefabs/Room_Drawing_Room.prefab:1 | Assets/Prefabs/Room_Drawing_Room_Perspective.prefab:1
NoPostProcessRenderLayer,class,MonoBehaviour,Assets/Scripts/Lighting/NoPostProcessRenderLayer.cs,Runtime,60,OnEnable | LateUpdate | OnValidate,ApplyNow,0,0,0,0,0,0,1,0,8,Assets/Editor/FlameBloomSeparationTools.cs:6 | Assets/Editor/RoomLightingRegressionTests.cs:1 | Assets/Scripts/UrpPostProcessingBootstrap.cs:1,501342ebff1f4a1091db7fdbb33842d5,0,
PostProcessBypassCamera,class,MonoBehaviour,Assets/Scripts/Lighting/PostProcessBypassCamera.cs,Runtime,158,OnEnable | LateUpdate | OnValidate,EnsureForCamera | Configure,1,0,1,1,0,0,1,0,13,Assets/Scripts/Lighting/PostProcessBypassCamera.cs:7 | Assets/Editor/FlameBloomSeparationTools.cs:2 | Assets/Editor/RoomLightingRegressionTests.cs:2 | Assets/Scripts/UrpPostProcessingBootstrap.cs:2,f7e797986b214ad2bc9f12f34a77a24c,0,
RoomLightOverlay,class,MonoBehaviour,Assets/Scripts/Lighting/RoomLightOverlay.cs,Runtime,421,OnEnable | Update | OnDisable | OnValidate,ApplyDefinition | SetLightBlend,0,0,0,0,0,0,1,0,17,Assets/Scripts/Lighting/RoomLightingController.cs:9 | Assets/Editor/FlameBloomSeparationTools.cs:4 | Assets/Editor/RoomEnvironmentAuthoringWindow.cs:3 | Assets/Editor/RoomLightingRegressionTests.cs:1,7f7a27b0ab2e4f728f38a7f82be9eb11,680,Assets/Scenes/Gameplay.unity:674 | Assets/Prefabs/Room_Drawing_Room.prefab:3 | Assets/Prefabs/Room_Drawing_Room_Perspective.prefab:3
