file,scope,loc,sha256,FindObject,ResourcesLoad,NewGameObject,AddComponent,RuntimeInitialize,PlayerPrefs,ExecuteAlways,StopAllCoroutines
Assets/Scripts/Characters/GuestScaleParticipant.cs,Runtime,748,5fec7ade513cdbba7333f07970e5483b8cb9a131968e7b0343ec6af43b33cf39,2,0,0,0,0,0,0,0
Assets/Scripts/Characters/RoomPersonWalker2D.cs,Runtime,803,fb003a698e78b63fef15c180307c6c1046741602639e7f9edcf8e4857b93ae21,1,0,0,0,0,0,1,0
Assets/Scripts/Characters/RoomPerspectiveProfile.cs,Runtime,262,ef145b933ebf7d30d7e8f5ced5450749eb2dc5fe93c2852ced3d05fee26fee83,0,0,0,0,0,0,0,0
Assets/Scripts/Characters/RoomProjectedEntity.cs,Runtime,1229,593595a7722993c01ef73d4afa2d61026e4f82811d49b7d432c302a65c957574,3,0,0,0,0,0,1,0
Assets/Scripts/Characters/WorldYSortSpriteRenderer.cs,Runtime,176,e85c62dc7499f124565c3c1158ebd3a1072740c3e437efb8876da2ad5af050ce,1,0,0,0,0,0,1,0
Assets/Scripts/Characters/YSortSolidObstacle2D.cs,Runtime,91,b9834dbaf5138b9487f3d7b43207c5c14a4b108d1a02a5d1b5d5c4fcf164bf85,0,0,0,0,0,0,1,0
Assets/Scripts/Environment/RoomEnvironmentMarker.cs,Runtime,40,eb21bf93d692975d3be5564d0af4a639682f3877bac80f9974382f7701ee8c1d,0,0,0,0,0,0,0,0
Assets/Scripts/Lighting/NoPostProcessRenderLayer.cs,Runtime,60,6ad2346d0fd8564c127bdf6477ec8a17c1f6a37e6a08c9be8d0ea57363893ee3,0,0,0,0,0,0,1,0
Assets/Scripts/Lighting/PostProcessBypassCamera.cs,Runtime,158,b17d1d7de49a8b98026618719fd72d3951a289752fc646fc35b5cc4db1fa2fa8,1,0,1,1,0,0,1,0
Assets/Scripts/Lighting/RoomLightOverlay.cs,Runtime,421,5a408021035f3dbdd557b80716930ccef5d26d78398d715dd3fe0fa8576cd0df,0,0,0,0,0,0,1,0
Assets/Scripts/Lighting/RoomLightingController.cs,Runtime,777,b12618ac851d32801fd41bea49eaa700d9660695b387e1c5c04a6328ac2b5fd3,4,1,4,5,0,0,1,0
Assets/Scripts/Lighting/RoomLightingPreset.cs,Runtime,44,4497d9fcdd9ff0bef2b9cb791d7cc1abdea2958d4568a97fc5cf7281b8e99ba7,0,0,0,0,0,0,0,0
Assets/Scripts/MainMenuController.cs,Runtime,1516,ac75d05f3eaedf216c3ec8f1a281e494bfc679b31a0a291ef777527d11f3fbd6,3,0,15,1,0,0,0,0
