script,guid,reference_count,referencing_assets
Assets/Scripts/PointClickPlayerMovement.cs,2d0c4cb59e8b4a76a27c91989d2b3f70,2,Assets/Scenes/Gameplay.unity:1 | Assets/Prefabs/Player.prefab:1
Assets/Scripts/StaticFrameGroup.cs,f954595883d2d986bb8e306016525218,0,
Assets/Scripts/StaticNoisePlayer.cs,9ec3b89548306a40294ac738ad5bb2d5,1,Assets/Scenes/Panel_Static.prefab:1
Assets/Scripts/StaticSet.cs,8ee0b76aa7b0ee882ad0323c147c3bfd,0,
Assets/Scripts/StaticSetImagePlayer.cs,6c514a4b9f2a4fb1b291fe23fde4e9ad,24,Assets/Scenes/Gameplay.unity:20 | Assets/Prefabs/Room_Drawing_Room_Perspective.prefab:2 | Assets/Prefabs/Room_Drawing_Room.prefab:2
Assets/Scripts/Story/ActorRoomState.cs,52aa6b0f97094c5caf21419184eed4e2,0,
Assets/Scripts/Story/ChapterClock.cs,1a405cdcb44e4f15bfd177ca70cc9ca4,1,Assets/Scenes/Gameplay.unity:1
Assets/Scripts/Story/ChapterEventScheduler.cs,bbe343a17f37436d806da3e58b6472c4,1,Assets/Scenes/Gameplay.unity:1
Assets/Scripts/Story/ChapterIntroUI.cs,97af4a761ae641b1b180d4ae9898b061,1,Assets/Scenes/Gameplay.unity:1
Assets/Scripts/Story/ChapterManager.cs,72afcfa1ce4e4ea6856af0ac40450211,1,Assets/Scenes/Gameplay.unity:1
Assets/Scripts/Story/CoatCloset.cs,f46d1a47beb04599bf3126bbde4a7f25,1,Assets/Scenes/Gameplay.unity:1
Assets/Scripts/Story/DoorbellSystem.cs,4b5410ab5e584743be969413e655ecb4,1,Assets/Scenes/Gameplay.unity:1
Assets/Scripts/Story/GameplayRuntimeState.cs,8f114fba8070459d9e0d5f2362cf8b2c,0,
Assets/Scripts/Story/NPCWaypointMover.cs,4f0e848d27bb4cb1881c2cdf6617f6e9,0,
Assets/Scripts/Story/RoomAnchor.cs,4a4a777a7d334c52a4bbcc158704bb97,78,Assets/Scenes/Gameplay.unity:42 | Assets/Prefabs/Room_Drawing_Room_Perspective.prefab:18 | Assets/Prefabs/Room_Drawing_Room.prefab:18
Assets/Scripts/UI/CursorStyleCatalog.cs,2ca2170510ad7b877a91033254911f53,0,
Assets/Scripts/UI/NavigationCursorHoverTarget.cs,4d6cb092c0fc4a47bc3fb39240ef1404,0,
Assets/Scripts/UI/PostProcessSafeCanvasUtility.cs,bd4ee862c7230194ca0977fb3807c08a,0,
Assets/Scripts/UI/RuntimeSettingsMenu.cs,06d3a7eb4f7d428f9bc3e64b6c47f0b6,1,Assets/Scenes/Gameplay.unity:1
Assets/Scripts/UI/SpeakingCharacterIndicator.cs,9963bb0aa9d84cc7a8cb801c668a92ee,1,Assets/Scenes/Gameplay.unity:1
Assets/Scripts/UI/SubtitleLine.cs,4472b689444388ba58d2ecf5cf9beacf,0,
Assets/Scripts/UI/SubtitleLineBank.cs,695dfb43a57e4ce745980f19b1666ddc,1,Assets/Resources/UI/SubtitleLineBank.asset:1
Assets/Scripts/UI/SubtitleService.cs,6a672186a99c3d17e3288fac89b25221,1,Assets/Scenes/Gameplay.unity:1
Assets/Scripts/UrpPostProcessingBootstrap.cs,ecd7d6b61c5aa98479304e3530e778db,0,
Assets/_Chateau/Editor/Architecture/ArchitectureFoundationTests.cs,28d3d987cc6f52f2ae594cdb76e33f5a,0,
Assets/_Chateau/Editor/Architecture/CanonicalRoomPassageContractTests.cs,8c843217bb8d4db185b08035f518bf29,0,
Assets/_Chateau/Editor/Architecture/GameRootInstaller.cs,c31a9d8335cc5647aa945c59ce46704d,0,
Assets/_Chateau/Editor/Architecture/SetPieceViewTests.cs,4fa2b1c3d5e6478890a1b2c3d4e5f609,0,
Assets/_Chateau/Runtime/Core/ChateauBehaviour.cs,0ce883a9e4a95b0e9afa5f1fe28764bd,0,
Assets/_Chateau/Runtime/Core/GameContext.cs,aaccb252ed5f5c11bebc3525da184608,0,
Assets/_Chateau/Runtime/Core/GameRoot.cs,bc887e2e5e4f5cc594cd3d8920eb9f90,1,Assets/Scenes/Gameplay.unity:1
Assets/_Chateau/Runtime/Core/GameServiceBase.cs,363f82324eb55bb6a1b87d5f87fca362,0,
Assets/_Chateau/Runtime/Core/IGameService.cs,fa1ac6df43215438873f125036d79c40,0,
Assets/_Chateau/Runtime/Core/StateMachine.cs,2686f4861643517b90c963f34db07329,0,
Assets/_Chateau/Runtime/Core/ValidationReport.cs,6ae44be1d416516db9af9035650ba237,0,
Assets/_Chateau/Runtime/Data/DefinitionAssetBase.cs,a316b1ce937e5bd1812efd2f6346aa15,0,
Assets/_Chateau/Runtime/Data/GameDatabase.cs,c88bc49b6a595fd4b2909d7957ee6f97,1,Assets/_Chateau/Data/GameDatabase.asset:1
Assets/_Chateau/Runtime/Gameplay/ActorControllerBase.cs,f6760162bbfc5231a95d55c6b9d37501,0,
Assets/_Chateau/Runtime/Gameplay/ActorMotorBase.cs,5ad0e88db0935af2b72f5e197dd229de,0,
Assets/_Chateau/Runtime/Gameplay/ActorPresenterBase.cs,c01e0d1550df59b48216ef743fdcf494,0,
Assets/_Chateau/Runtime/Gameplay/ChapterControllerBase.cs,49e09730ae6159ad92156931aa538462,0,
